subject,total_images,faces_found,missed,rate_%
s1,10,10,0,100.0
s10,10,10,0,100.0
s11,10,10,0,100.0
s12,10,10,0,100.0
s13,10,10,0,100.0
s14,10,10,0,100.0
s15,10,10,0,100.0
s16,10,10,0,100.0
s17,10,10,0,100.0
s18,10,10,0,100.0
s19,10,10,0,100.0
s2,10,10,0,100.0
s20,10,10,0,100.0
s21,10,10,0,100.0
s22,10,10,0,100.0
s23,10,10,0,100.0
s24,10,10,0,100.0
s25,10,10,0,100.0
s26,10,10,0,100.0
s27,10,10,0,100.0
s28,10,10,0,100.0
s29,10,10,0,100.0
s3,10,10,0,100.0
s30,10,10,0,100.0
s31,10,10,0,100.0
s32,10,10,0,100.0
s33,10,10,0,100.0
s34,10,10,0,100.0
s35,10,10,0,100.0
s36,10,10,0,100.0
s37,10,10,0,100.0
s38,10,10,0,100.0
s39,10,10,0,100.0
s4,10,10,0,100.0
s40,10,10,0,100.0
s5,10,10,0,100.0
s6,10,10,0,100.0
s7,10,10,0,100.0
s8,10,10,0,100.0
s9,10,10,0,100.0
